Rank;Log10(Rank);Log10(Freq-OS);Log10(Freq-IS)
154;2.187520721;#N/A;-2.157758886
155;2.190331698;-1.940765436;-2.157758886
156;2.193124598;-2.144885418;-2.157758886
157;2.195899652;-2.144885418;-2.157758886
158;2.198657087;-2.241795431;-2.157758886
159;2.201397124;-1.998757383;-2.157758886
160;2.204119983;-2.065704172;-2.157758886
161;2.206825876;-1.998757383;-2.157758886
162;2.209515015;-2.144885418;-2.157758886
163;2.212187604;-2.144885418;-2.157758886
164;2.214843848;-2.144885418;-2.157758886
165;2.217483944;-1.940765436;-2.157758886
166;2.220108088;-2.065704172;-2.157758886
167;2.222716471;-2.065704172;-2.157758886
168;2.225309282;-2.144885418;-2.157758886
169;2.227886705;-2.144885418;-2.157758886
170;2.230448921;-2.144885418;-2.157758886
171;2.23299611;-1.940765436;-2.157758886
172;2.235528447;-2.065704172;-2.157758886
173;2.238046103;-2.144885418;-2.157758886
174;2.240549248;-2.144885418;-2.157758886
175;2.243038049;-2.144885418;-2.157758886
176;2.245512668;-1.940765436;-2.157758886
177;2.247973266;-2.241795431;-2.157758886
178;2.250420002;-2.144885418;-2.157758886
179;2.252853031;-1.889612913;-2.157758886
180;2.255272505;-2.065704172;-2.157758886
181;2.257678575;-2.366734168;-2.157758886
182;2.260071388;-2.241795431;-2.157758886
183;2.26245109;-2.241795431;-2.157758886
184;2.264817823;-2.366734168;-2.157758886
185;2.267171728;-2.144885418;-2.157758886
186;2.269512944;#N/A;-2.157758886
187;2.271841607;-2.241795431;-2.157758886
188;2.274157849;-1.940765436;-2.157758886
189;2.276461804;-2.241795431;-2.157758886
190;2.278753601;-2.366734168;-2.157758886
191;2.281033367;-2.366734168;-2.157758886
192;2.283301229;-2.144885418;-2.157758886
193;2.285557309;-2.366734168;-2.157758886
194;2.28780173;-2.144885418;-2.254668899
195;2.290034611;-2.542825427;-2.254668899
196;2.292256071;-2.144885418;-2.254668899
197;2.294466226;-1.940765436;-2.254668899
198;2.29666519;-2.241795431;-2.254668899
199;2.298853076;-2.241795431;-2.254668899
200;2.301029996;-2.241795431;-2.254668899
201;2.303196057;-2.241795431;-2.254668899
202;2.305351369;-2.144885418;-2.254668899
203;2.307496038;-2.241795431;-2.254668899
204;2.309630167;-2.542825427;-2.254668899
205;2.311753861;-2.366734168;-2.254668899
206;2.31386722;-2.542825427;-2.254668899
207;2.315970345;-2.065704172;-2.254668899
208;2.318063335;-2.241795431;-2.254668899
209;2.320146286;-2.144885418;-2.254668899
210;2.322219295;-2.241795431;-2.254668899
211;2.324282455;-2.065704172;-2.254668899
212;2.326335861;-2.241795431;-2.254668899
213;2.328379603;-2.241795431;-2.254668899
214;2.330413773;-2.366734168;-2.254668899
215;2.33243846;-2.241795431;-2.254668899
216;2.334453751;-1.998757383;-2.254668899
217;2.336459734;-2.542825427;-2.254668899
218;2.338456494;-2.065704172;-2.254668899
219;2.340444115;-2.366734168;-2.254668899
220;2.342422681;-2.144885418;-2.254668899
221;2.344392274;-2.144885418;-2.254668899
222;2.346352974;-2.241795431;-2.254668899
223;2.348304863;-2.366734168;-2.254668899
224;2.350248018;-2.241795431;-2.254668899
225;2.352182518;-2.366734168;-2.254668899
